City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ouesso,1.6136,16.0517,22.32,94,60,0.39,CG,1691711383
84,xai-xai,-25.0519,33.6442,16.01,71,12,2.26,MZ,1691711383
85,arica,-18.475,-70.3042,19.13,72,100,5.14,CL,1691711085
86,makurazaki,31.2667,130.3167,26.97,77,88,0.82,JP,1691711383
87,colonia,50.9333,6.95,17.76,82,0,1.54,DE,1691711279
88,touros,-5.1989,-35.4608,24.83,80,49,6.51,BR,1691711383
89,margaret river,-33.95,115.0667,12.13,77,82,2.41,AU,1691711384
90,bethel,41.3712,-73.414,22.05,86,100,2.57,US,1691711124
91,santa sylvina,-27.8326,-61.1375,22.25,54,10,1.81,AR,1691711384
92,goth phulji,26.8825,67.6807,32.62,55,53,4.72,PK,1691711384
93,adamstown,-25.066,-130.1015,17.85,61,18,10.68,PN,1691711118
94,acapulco de juarez,16.8634,-99.8901,31.9,66,40,4.63,MX,1691711198
95,nelson bay,-32.7167,152.15,15.62,59,0,3.13,AU,1691711384
96,lengshuijiang,27.6881,111.4294,25.95,81,0,0.95,CN,1691711385
97,palmer,42.1584,-72.3287,21.95,85,100,2.06,US,1691711385
98,vorgashor,67.5833,63.95,4.09,97,86,4.22,RU,1691711385
99,ribeira grande,38.5167,-28.7,21.54,86,59,3.58,PT,1691711385
100,qaqortoq,60.7167,-46.0333,6.66,79,93,0.63,GL,1691711385
101,grande prairie,55.1667,-118.8027,20.1,42,75,8.23,CA,1691711086
102,pisco,-13.7,-76.2167,20.03,77,100,8.75,PE,1691711385
103,bredasdorp,-34.5322,20.0403,12.52,72,0,0.88,ZA,1691711386
104,hermanus,-34.4187,19.2345,15.43,59,0,1.06,ZA,1691711386
105,nova sintra,14.8667,-24.7167,22.72,75,24,5.58,CV,1691711136
106,yellowknife,62.456,-114.3525,20.29,49,100,2.06,CA,1691711392
107,cruzeiro do sul,-29.5128,-51.9853,19.71,90,54,1.71,BR,1691711392
108,puerto carreno,6.189,-67.4859,30.99,70,20,4.12,CO,1691711392
109,moncks corner,33.196,-80.0131,32.68,61,0,2.06,US,1691711175
110,vila velha,-20.3297,-40.2925,21.97,83,100,1.54,BR,1691711225
111,hawaiian paradise park,19.5933,-154.9731,27.8,78,75,3.09,US,1691711393
112,iqaluit,63.7506,-68.5145,6.5,87,20,4.63,CA,1691711393
113,tuy hoa,13.0833,109.3,29.21,66,27,3.45,VN,1691711393
114,tolanaro,-25.0319,46.9987,19.04,68,75,3.09,MG,1691711393
115,mahibadhoo,3.7833,72.9667,28.21,74,84,6.36,MV,1691711393
116,jingdezhen,29.2947,117.2079,28.42,73,0,1.31,CN,1691711393
117,tegina,10.0706,6.1906,22.68,95,100,1.13,NG,1691711394
118,macau,22.2006,113.5461,27.89,89,40,3.09,MO,1691711394
119,qianzhou,28.3167,109.7167,26.58,83,3,0.4,CN,1691711394
120,ardestan,33.3761,52.3694,26.01,19,0,1.92,IR,1691711394
121,ola,59.5833,151.2833,18.97,67,12,2.27,RU,1691711119
122,olonkinbyen,70.9221,-8.7187,6.42,99,100,4.12,SJ,1691711116
123,hamilton,39.1834,-84.5333,27.01,68,40,5.14,US,1691710759
124,geraldton,-28.7667,114.6,13.23,94,100,2.57,AU,1691711188
125,san patricio,28.017,-97.5169,35.97,59,0,8.16,US,1691711395
126,moroto,2.5345,34.6666,19.02,78,11,1.01,UG,1691711395
127,mahina,-17.5065,-149.489,27.87,57,75,3.6,PF,1691711395
128,udachny,66.4167,112.4,16.36,82,91,2.18,RU,1691711395
129,erdenet,49.0333,104.0833,13.1,78,6,0.71,MN,1691711395
130,howrah,22.5892,88.3103,27.0,83,75,3.09,IN,1691711294
131,papatowai,-46.5619,169.4708,6.48,87,100,0.95,NZ,1691711395
132,alaghsas,17.0187,8.0168,29.74,49,100,2.97,NE,1691711396
133,ust-nera,64.5667,143.2,22.14,39,15,0.81,RU,1691711396
134,jinxiang,27.4327,120.6062,28.27,80,66,1.83,CN,1691711169
135,lepsy,46.235,78.9456,25.07,42,57,2.96,KZ,1691711396
136,at taj,24.2049,23.2857,31.31,27,22,4.85,LY,1691711396
137,kargasok,59.0556,80.8572,12.13,98,100,4.86,RU,1691711396
138,spring creek,40.7266,-115.5859,31.83,14,0,4.23,US,1691711396
139,saipan,15.1355,145.701,25.92,100,75,3.6,MP,1691711397
140,hithadhoo,-0.6,73.0833,27.74,76,72,5.51,MV,1691711397
141,auki,-8.7676,160.7034,25.54,88,99,3.83,SB,1691711145
142,icano,-28.9193,-65.3282,19.32,40,18,2.61,AR,1691711397
143,morondava,-20.2833,44.2833,21.16,64,0,5.44,MG,1691711402
144,am timan,11.0297,20.2827,22.46,88,42,0.81,TD,1691711403
145,pitimbu,-7.4706,-34.8086,24.33,83,22,4.94,BR,1691711258
146,keflavik,64.0049,-22.5624,13.95,93,40,2.57,IS,1691711403
147,les cayes,18.2,-73.75,28.05,78,85,2.73,HT,1691711403
148,puerto cabezas,14.0351,-83.3888,30.98,74,40,2.06,NI,1691711403
149,hasaki,35.7333,140.8333,29.05,79,8,5.82,JP,1691711404
150,ilulissat,69.2167,-51.1,7.01,81,75,2.06,GL,1691711404
151,ribeira brava,32.65,-17.0667,26.35,74,1,2.93,PT,1691711404
152,lebu,-37.6167,-73.65,9.29,77,57,5.21,CL,1691711404
153,punta arenas,-53.15,-70.9167,1.73,80,100,4.7,CL,1691711280
154,sitka,57.0531,-135.33,15.94,82,100,2.06,US,1691711135
155,bamboo flat,11.7,92.7167,28.05,83,75,2.57,IN,1691711405
156,xinhui,22.456,113.0482,27.3,80,91,1.76,CN,1691711405
